Estonia,"Evangelical Lutheran 14%, Russian Orthodox 13%, other Christian (including Methodist, Seventh-Day Adventist, Roman Catholic, Pentecostal) 1%, unaffiliated 34%, none 6% (2001)"
Ethiopia,"Islam 45%–50%, Ethiopian Orthodox 35%–40%, animist 12%, other 3%–8%"
Fiji,"Christian 52% (Methodist 37%, Roman Catholic 9%), Hindu 38%, Islam 8%, other 2%"
Finland,"Evangelical Lutheran 84%, Greek Orthodox 1%, other Christian 1%, none 14%"
France,"Roman Catholic 83%–88%, Protestant 2%, Islam 5%–10%, Jewish 1%, unaffiliated 4%"
Gabon,"Christian 55%–75%, animist, Islam less than 1%"
Gambia,"Islam 90%, Christian 9%, indigenous 1%"
Georgia,"Orthodox 84%, Islam 10%, Armenian-Gregorian 4%, Catholic 1% (2002)"
Germany,"Protestant 34%, Roman Catholic 34%, Islam 4%, Unaffiliated or other 28%"
Ghana,"Christian 63%, indigenous beliefs 21%, Islam 16%"
Greece,"Greek Orthodox 98%, Islam 1%, other 1%"
Grenada,"Roman Catholic 53%, Anglican 14%, other Protestant 33%"
Guatemala,"Roman Catholic, Protestant, indigenous Mayan beliefs"
Guinea,"Islam 85%, Christian 8%, indigenous 7%"
Guinea-Bissau,"indigenous beliefs 50%, Islam 45%, Christian 5%"
Guyana,"Christian 50%, Hindu 35%, Islam 10%, other 5%"
Haiti,"Roman Catholic 80%, Protestant 16% (Baptist 10%, Pentecostal 4%, Adventist 1%, other 1%), other 3%, none 1%. Note: roughly half the population practices Vaudou"
Honduras,"Roman Catholic 97%, Protestant 3%"
Hungary,"Roman Catholic 52%, Calvinist 16%, Lutheran 3%, Greek Catholic 3%, other Christian 1%, unaffiliated 15% (2001)"
Iceland,"Lutheran Church of Iceland 85.5%, Reykjavik Free Church 2.1%, Roman Catholic Church 2%, Hafnarfjorour Free Church 1.5%, other Christian 2.7%, other or unspecified 3.8%, unaffiliated 2.4% (2004)"
India,"Hindu 81%, Islam 13%, Christian 2%, Sikh 2% (2001)"
Indonesia,"Islam 88%, Protestant 5%, Roman Catholic 3%, Hindu 2%, Buddhist 1% (1998)"
Iran,"Islam 98% (Shi'a 89%, Sunni 9%); Zoroastrian, Jewish, Christian, and Baha'i 2%"
Iraq,"Islam 97% (Shiite 60%–65%, Sunni 32%–37%), Christian or other 3%"
Ireland,"Roman Catholic 88%, Church of Ireland 3%, other Christian 2%, none 4%"
Israel,"Judaism 77%, Islam 16%, Christian 2%, Druze 2% (2003)"
Italy,"Roman Catholic approx. 90%, Protestant, Jewish, Islamic"
Jamaica,"Protestant 61.3%, (Church of God 21.2%, Baptist 8.8%, Anglican 5.5%, Seventh-Day Adventist 9%, Pentecostal 7.6%, Methodist 2.7%, United Church 2.7%, Brethren 1.1%, Jehovah's Witness 1.6%, Moravian 1.1%), Roman Catholic 4%, other including some spiritual cults 34.7%"
Japan,"Shintoist and Buddhist 84%, other 16% (including Christian 0.7%)"
Jordan,"Islam (Sunni) 92%, Christian 6% (mostly Greek Orthodox), other 2%"
Kazakhstan,"Islam 47%, Russian Orthodox 44%, Protestant 2%, other 7%"
Kenya,"Protestant 45%, Roman Catholic 33%, indigenous beliefs 10%, Islam 10%, others 2% (note: estimates vary widely)"
Kiribati,"Roman Catholic 52%, Protestant (Congregational) 40%, some Seventh-Day Adventist, Muslim, Baha'i, Latter-day Saints, and Church of God (1999)"
"Korea, North",Buddhism and Confucianism; religious activities almost nonexistent
"Korea, South","no affiliation 46%, Christian 26%, Buddhist 26%, Confucianist 1%, other 1%"
Kuwait,"Islam 85% (Sunni 70%, Shiite 30%); Christian, Hindu, Parsi, and other 15%"
Kyrgyzstan,Islam 75%; Russian Orthodox 20%; other 5%
Laos,"Buddhist 60%, animist and other 40% (including Christian 2%)"
Latvia,"Lutheran, Roman Catholic, Russian Orthodox"
Lebanon,"Islam 60% (Shi'a, Sunni, Druze, Isma'ilite, Alawite/Nusayri), Christian 39% (Maronite, Melkite, Syrian, Armenian, and Roman Catholic; Greek, Armenian, and Syrian Orthodox; Chaldean; Assyrian; Copt; Protestant), other 1%"
Lesotho,"Christian 80%, indigenous beliefs 20%"
Liberia,"traditional 40%, Christian 40%, Islam 20%"
Libya,Islam (Sunni) 97%
Liechtenstein,"Roman Catholic, 77%, Protestant, 7%; unknown, 11% (2002)"
Lithuania,"Roman Catholic 79%, Russian Orthodox 4%, Protestant (including Lutheran, evangelical Christian Baptist) 2%, none 10% (2001)"
Luxembourg,"Roman Catholic 87%; Protestant, Jewish, Islamic 13% (2000)"
Macedonia ,"Macedonian Orthodox 32%, Islam 17% (2002)"
Madagascar,"indigenous beliefs 52%, Christian 41%, Islam 7%"
Malawi,"Christian 80%, Islam 13%, none 4% (1998)"
Malaysia,"Muslim, Buddhist, Daoist, Hindu, Christian, Sikh; Shamanism (East Malaysia)"
Maldives,Islam (Sunni)
Mali,"Islam 90%, indigenous beliefs 9%, Christian 1%"
Malta,Roman Catholic 98%
Marshall Islands,"Protestant 55%, Assembly of God 26%, Roman Catholic 8%, Bukot nan Jesus 3%, Mormon 2%, other Christian 4%, none 2% (1999)"
Mauritania,Islam 100%
Mauritius,"Hindu 48%, Roman Catholic 24%, other Christian 8%, Islam 17% (2000)"
Mexico,"nominally Roman Catholic 89%, Protestant 6%, other 5%"
Micronesia,"Roman Catholic 50%, Protestant 47%"
Moldova,"Eastern Orthodox 98%, Jewish 1.5%, Baptist and other 0.5% (2000)"
Monaco,Roman Catholic 90%
Mongolia,"Buddhist Lamaist 50%, Islam 4%, Shamanism and Christian 4%, none 40% (2004)"
Montenegro,"Orthodox, Muslim, Roman Catholic"
Morocco,"Islam 99%, Christian 1%"
Mozambique,"Mozambique 24%, Islam 18%, Zionist Christian 18%, none 23% (1997)"
Myanmar,"Buddhist 89%, Christian 4% (Baptist 3%, Roman Catholic 1%), Islam 4%, Animist 1%, other 2%"
Namibia,"Christian 80%–90% (Lutheran at least 50%), indigenous beliefs 10%–20%"
Nauru,"Christian (two-thirds Protestant, one-third Roman Catholic)"
Nepal,"Hindu 81%, Buddhist 11%, Islam 4%, Kirant 4% (2001)"
Netherlands,"Roman Catholic 31%, Dutch Reformed 13%, Calvinist 7%, Islam 6%, none 41% (2002)"
New Zealand,"Anglican 15%, Roman Catholic 12%, Presbyterian 11%, Methodist 3%, Pentecostal 2%, Baptist 1%, other Christian 9%, none 26% (2001)"
Nicaragua,"Roman Catholic 73%, Evangelical 15%, Moravian 2%, none 9% (1995)"
Niger,"Islam 80%, indigenous beliefs and Christian 20%"
Nigeria,"Islam 50%, Christian 40%, indigenous beliefs 10%"
Norway,"Evangelical Lutheran 86% (state church), Pentecostal 1%, Roman Catholic 1%, other Christian 2% (2004)"
Oman,"Islam: Ibadhi 75%, Sunni, Shi'a; Hindu"
Pakistan,"Islam 97% (Sunni 77%, Shiite 20%); Christian, Hindu, and other 3%"
Palau,"Roman Catholic 42%, Protestant 23%, Modekngei 9% (indigenous), Seventh-Day Adventist 5%, Jehovah's Witness 1%, Latter-Day Saints 1%, other religion 3%, unspecified or none 16% (2000)"
Palestinian State (proposed),"West Bank: Islam 75% (predominantly Sunni), Jewish 17%, Christian and other 8%; Gaza Strip: Islam 98.7% (predominantly Sunni), Christian 0.7%, Jewish 0.6%."
Panama,"Roman Catholic 85%, Protestant 15%"
Papua New Guinea,"Roman Catholic 22%, Lutheran 16%, Presbyterian/Methodist/London Missionary Society 8%, Anglican 5%, Evangelical Alliance 4%, Seventh-Day Adventist 1%, other Protestant 10%, indigenous beliefs 34%"
Paraguay,"Roman Catholic 90%, Mennonite, other Protestant 10%"
Peru,"Roman Catholic 81%, Seventh-Day Adventist 1%, other Christian 1%, unspecified or none 16% (2003 est.)"
Philippines,"Roman Catholic 81%, Evangelical 3%, Iglesia ni Kristo 2%, Aglipayan 2%, other Christian 5%, Islam 5% (2000)"
Poland,"Roman Catholic 90% (about 75% practicing), Eastern Orthodox 1%, Protestant and other (2002)"
Portugal,"Roman Catholic 94%, Protestant (1995)"
Qatar,Islam 95%
Romania,"Romanian Orthodox 87%, Protestant 8%, Roman Catholic 5%, Islam and other (2002)"
Russia,"Russian Orthodox 15%–20%, other Christian 2%, Islam 10%–15% (2006 est.; includes practicing worshippers only)"
Rwanda,"Roman Catholic 56.5%, Protestant 26%, Adventist 11.1%, Islam 4.6%, indigenous beliefs 0.1%, none 1.7% (2001)"
St. Kitts and Nevis,"Anglican, other Protestant, Roman Catholic"
St. Lucia,"Roman Catholic 68%, Seventh-Day Adventist 9%, Pentecostal 6%, Evangelical 2%, Anglican 2%, other Christian 5%, Rastafarian 2%, none 5% (2001)"
St. Vincent and the Grenadines,"Anglican 47%, Methodist 28%, Roman Catholic 13%, Hindu, Seventh-Day Adventist, other Protestant"
Samoa,"Congregationalist 34.8%, Roman Catholic 19.6%, Methodist 15%, Latter-Day Saints 12.7%, Assembly of God 6.6%, Seventh-Day Adventist 3.5%, other Christian 4.5%, Worship Centre 1.3%, other 1.7%, unspecified 0.1% (2001)"
San Marino,Roman Catholic
São Tomé and Príncipe,"Catholic 70%, Evangelical 3%, New Apostolic 2%, Adventist 2%, other 3%, none 19% (2001)"
Saudi Arabia,Islam 100%
Senegal,"Islam 94%, Christian 5% (mostly Roman Catholic), indigenous 1%"
Serbia,"Serbian Orthodox, Muslim, Roman Catholic, Protestant"
Seychelles,"Roman Catholic 83%, Anglican 6%, Seventh-Day Adventist 1%, other Christian 3%, Hindu 2%, Muslim 1%, none 1%"
Sierra Leone,"Islam 60%, indigenous 30%, Christian 10%"
Singapore,"Buddhist 43%, Islam 15%, Taoist 9%, Hindu 4%, Catholic 5%, other Christian 10%, none 15% (2000)"
Slovakia,"Roman Catholic 69%, Protestant 11%, Greek Catholic 4%, none 13% (2001)"
Slovenia,"Catholic 58% Orthodox 2%, other Christian 1%, Islam 2%, none 10%"
Solomon Islands,"Church of Melanesia 33%, Roman Catholic 19%, Seventh-Day Adventist 11%, United Church 10%, Christian Fellowship Church 2%, other Christian 4% (1999)"
Somalia,Islam (Sunni)
South Africa,"Zion Christian 11%, Pentecostal/Charismatic 8%, Catholic 7%, Methodist 7%, Dutch Reformed 7%, Anglican 4%, other Christian 36%, Islam 2%, none 15% (2001)"
Spain,"Roman Catholic 94%, other 6%"
Sri Lanka,"Buddhist 70%, Islam 8%, Hindu 7%, Christian 6% (2001)"
Sudan,"Islam (Sunni) 70% (in north), indigenous 25%, Christian 5% (mostly in south and Khartoum)"
Suriname,"Hindu 27.4%, Protestant 25.2% (predominantly Moravian), Roman Catholic 22.8%, Islam 19.6%, indigenous 5%"
Swaziland,"Zionist (a blend of Christianity and indigenous ancestral worship) 40%; Roman Catholic 20%; Muslim 10%; Anglican, Bahai, Methodist, Mormon, Jewish, and other 30%"
Sweden,"Lutheran 87%, Roman Catholic, Orthodox, Baptist, Muslim, Jewish, Buddhist"
Switzerland,"Roman Catholic 42%, Protestant 35%, Orthodox 2%, Muslim 4%, none 11% (2000)"
Syria,"Islam (Sunni) 74%; Alawite, Druze, and other Islamic sects 16%; Christian (various sects) 10%; Jewish (tiny communities in Damascus, Al Qamishli, and Aleppo)"
Taiwan,"mixture of Buddhist, Confucian, and Taoist 93%, Christian 4.5%, other 2.5%"
Tajikistan,"Islam: Sunni 85%, Shiite 5%; other 10% (2003 est.)"
Tanzania,"mainland: Christian 30%, Islam 35%, indigenous 35%; Zanzibar: more than 99% Islam"
Thailand,"Buddhist 95%, Islam 5%, Christian 1% (2000)"
Togo,"Indigenous beliefs 51%, Christian 29%, Islam 20%"
Tonga,"Christian (Free Wesleyan Church claims over 30,000 adherents)"
Trinidad and Tobago,"Roman Catholic 26%, Anglican 8%, Baptist 7%, Pentecostal 7%, Seventh-Day Adventist 4%, other Christian 6%, Hindu 22%, Islam 6%, none 2%"
Tunisia,"Islam (Sunni) 98%, Christian 1%, Jewish and other 1%"
Turkey,"Islam (mostly Sunni) 99.8%, other 0.2% (mostly Christians and Jews)"
Turkmenistan,"Islam 89%, Eastern Orthodox 9%, unknown 2%"
Tuvalu,"Church of Tuvalu (Congregationalist) 97%, Seventh-Day Adventist 1%, Baha'i 1%"
Uganda,"Roman Catholic 33%, Protestant 33%, Islam 16%, indigenous beliefs 18%"
Ukraine,"Ukrainian Orthodox (Kiev Patriarchate 19%, Moscow Patriarchate 9%, no particular division 16%), Ukrainian Greek Catholic 6%, Ukrainian Autocephalous Orthodox 2%, Protestant, Jewish, none 38% (2004)"
United Arab Emirates,"Islam 96% (Sunni 80%, Shiite 16%), Christian, Hindu, and other 4%"
United Kingdom,"Christian (Anglican, Roman Catholic, Presbyterian, Methodist) 71.6%, Muslim 2.7%, Hindu 1%, other 1.6%, unspecified or none 23.1% (2001)"
United States,"Protestant 52%, Roman Catholic 24%, Mormon 2%, Jewish 1%, Muslim 1%, none 10% (2002)"
Uruguay,"Roman Catholic 66%, Protestant 2%, Jewish 1%"
Uzbekistan,"Islam (mostly Sunnis) 88%, Eastern Orthodox 9%"
Vanuatu,"Presbyterian 31%, Anglican 13%, Roman Catholic 13%, Seventh-Day Adventist 11%, other Christian 14%, indigenous beliefs 6% (including Jon Frum Cargo cult), none 1%"
Vatican City (Holy See),Roman Catholic.
Venezuela,"Roman Catholic 96%, Protestant 2%"
Vietnam,"Buddhist 9%, Catholic 7%, Hoa Hao 2%, Cao Dai 1%, Protestant, Islam, none 81%"
Western Sahara (proposed state),Islam
Yemen,"Islam (including Sunni and Shiite), small numbers of Jewish, Christian, and Hindu"
Zambia,"Christian 50%–75%, Islam and Hindu 24%–49%, indigenous beliefs 1%"
Zimbabwe,"syncretic (part Christian, part indigenous beliefs) 50%, Christian 25%, indigenous beliefs 24%, Muslim and other 1%"
