Year,Country,Data Source,Pricing policies
2015, Russian Federation,  ,Introduction of a reduced excise duty on wines with a protected designation /geographical indication.
2015, Sweden, link,Excise tax increase on spirits 1% and on wine and beer 9%.
2015, Tajikistan,  ,Excise taxes on alcohol were increased.
2015, Turkey, link,"In 2012, by Article 12 of the Special Consumption Tax Law No.4760, the Council of Ministers is authorized to determine tax arrangements for spirits. By this authority, different tax rates based on the degree of alcohol, the amount of alcohol and the minimum tax amount are determined twice a year. In this context, tax regulation was carried out two times a year in 2015."
2015, Turkmenistan,  ,"Increase in excise taxes. Article 119 ""The list of excisable goods and excise rates"". In the edition of the law of Turkmenistan of 10 May 2010. Decree of the President of Turkmenistan No. 14413 of 23 September 2015 ""Starting from 01.04.2016 to introduce marking imported into Turkmenistan for the purpose of selling tobacco products and alcoholic beverages, as well as additional alcoholic beverages produced in Turkmenistan."""
2015, United Kingdom of Great Britain and Northern Ireland,  ,Excise Movement and Risk Analysis introduced in 2015.
2015, United Kingdom of Great Britain and Northern Ireland, link,Wales: Consultation on the draft Public Health (Minimum Price for Alcohol) (Wales) Bill. Consultation launched 15 July 2015 and closed 11 December 2015.
2015, Uzbekistan,  ,Ministry of Finance of the Republic of Uzbekistan Regulation No. 102 of 3 December 2015 and Tax Committee of the Republic of Uzbekistan Regulation No. 2015-34 of 3 December 2015 on Revision of Minimum Wholesale and Retail Prices on Alcohol Products.
2014, Russian Federation, link,"Decree of the Russian Service for Alcohol Market Regulation from 25.12.2014 № 409 ""On the pricing, which is carried out not less than the purchase (excluding imports), supplies (except for exports) and retail sale of alcoholic beverages fortress over 28 percent"".  Since 1 February 2015, the minimum retail price for a 0.5-litre bottle of vodka has been reduced from 220 RUR to 185 RUR."
2014, Russian Federation, link,"The Treaty on the EEU included the following provisions: countries’ ability to regulate prices on vodka, liquor and other alcoholic beverages (≥28%) (minimal price) (paragraph 85); harmonization (convergence) of excise tax rates for the most sensitive excisable goods (paragraph 71); according to point 14 of the List of sectors (subsectors) of services in which the single market of services within the framework of the EEU is functioning, approved by the Decision of the Supreme Eurasian Economic Council of 23 December 2014 No. 110, and also in accordance with the Decision of the Supreme Eurasian Economic Council of 23 December 2014 No. 112, services in the retail sale of ethyl alcohol, alcohol and alcohol-containing products are an exception to the single market within the framework of the EEU."
2014, Russian Federation, link,"The Treaty on the Eurasian Economic Union (EEU), signed in Astana on 29 May 2014. The list of sectors (subsectors) of services, which operate a single market for services within the framework of the EEU, was approved by the decision of the Supreme Eurasian Economic Council from 23.12.2014 N 110, and according to the decision of the Supreme Eurasian Economic Council of 23.12.2014 N 112."
