,Availability of alcohol,Community and workplace action,Country,Data Source,"Leadership, awareness and commitment",Marketing of alcoholic beverages,Monitoring and surveillance,Pricing policies,Year
1,"The requirements for the retail sale of alcohol were adjusted. Thus, the ban on the retail sale of alcohol in the territories adjacent to educational and medical institutions applies only to areas adjacent to buildings, structures and premises, in which the relevant activities are directly carried out. A direct ban on the retail sale of alcohol remotely was introduced. Agricultural producers are allowed to sell wine produced by them in the markets.",, Russian Federation, link,,,,, 
2,"Despite strong opposition of the Government, professional and nongovernmental organizations, the new initiative of a member of the parliament was adopted. The new Act Restricting the Use of Alcohol (Official Gazette of RS, Nos. 27/17 -ZOPA-A) was adopted on 17 June 2017. According to the ZOPA-A, the sale or offer of alcohol beverages containing less than 15 volume percent of alcohol (e.g., beer and wine, not spirits) can be sold or offered at sport facilities and functional land one hour before the start of and during a public sporting event. The organizer must acquire a permit issued by the administrative unit to sell or offer alcohol beverages at public events. Despite the fact that the act introduced the possibility of the sale and offer of alcohol at sporting events, a doubling of the fines for violating legal provisions were introduced, i.e. for the sale of alcohol to minors or intoxicated people.",, Slovenia, link,,,,,2017
3,Adoption of a law which allows municipalities to introduce a ban on the trading and consumption of alcohol at public events in 2004. More than 30% of municipalities have adopted such bans in 2016,, Lithuania,  ,,,,,2016
4,Ban on the sale of alcoholic beverages in petrol stations (came in to force on 1 January 2016),, Lithuania, link,,,,,2016
5,"The requirements for the retail sale of alcohol in public catering facilities, restaurants, cars, jet aircrafts and, through the mini-bars in hotel rooms were relaxed.",, Russian Federation,  ,,,,,2016
6,Scotland: Publication of Alcohol Focus Scotland’s “Alcohol licensing in your community” toolkit.,, United Kingdom of Great Britain and Northern Ireland, link,,,,,2016
7,Scotland: Scottish Qualifications Authority Alcohol Licensing Qualifications,, United Kingdom of Great Britain and Northern Ireland, link,,,,,2016
8,"Decree of the President of the Republic of Belarus of 20.02.2015 N 92 ""On amendments and additions to the Decree of the President of the Republic of Belarus."" Additional requirements have been set to applicants for a license to carry out wholesale trade and storage of alcoholic beverages.",, Belarus, link,,,,,2015
9,The Law on Public Peace and Order (Official Gazette of Republic of Srpska).  Includes a ban on the sale and use of alcoholic beverages in public places; and a ban on the consumption of alcoholic beverages by persons under age 18 and on the selling and serving of alcoholic beverages to persons under 18 in restaurants and cafes in the Republic of Srpska.,, Bosnia and Herzegovina, link,,,,,2015
10,"The Cyprus Anti-Drugs Council has introduced revisions to the existing legislation for the Sales of Alcoholic Beverages. These include modifications specific to the legal age for consumption and accessibility of alcohol (raising of legal age from 17 to 18) and the introduction of measures and stricter penalties for sellers to minimize underage consumption, and reinforce responsible sales/serving practices. The revisions suggested have been approved by the Ministry of Interior and the revised legislation is expected to be discussed at the parliament level in 2016 or early 2017.",, Cyprus,  ,,,,,2015
11,Changes in the law on the state regulation of licensing and introduction of alcohol production control devices.,, Kazakhstan, link,,,,,2015
12,"Major changes in licensing systems, age limits etc. pertaining to the availability of alcohol: Decreto-Lei n.º 106/2015, de 16 de junho [Decree-Law n.Âº106/2015, of June 16], interdicting the consumption of all kinds of alcohol for minors 18 years.",, Portugal, link,,,,,2015
13,"Decision no. 356 of 11.06.2015 on the approval of the technical regulation ""The organization of the wine market"" which establishes a map of vineyards.",, Republic of Moldova, link,,,,,2015
14,"Act Restricting the Use of Alcohol (Official Gazette of RS, Nos. 15/03- ZOPA) has introduced ban on  selling or offering alcoholic drinks at sports venues during sports events, as well as one hour before the start of such events. In the spring 2015, a member of the parliament tried to lift the ban. The initiative to amend the act so as to again allow the offering and selling of alcoholic drinks at sports events was not adopted since governmental, professional and non-governmental organizations successfully defended the opinion that it would represent a risk and a step back in the development of an effective alcohol policy in Slovenia.",, Slovenia,  ,,,,,2015
15,There were changes in the licensing system and legislation concerning age restrictions.,, Tajikistan,  ,,,,,2015
16,England and Wales: The maximum fine for persistent underage sales of alcohol was made into an unlimited fine.,, United Kingdom of Great Britain and Northern Ireland,  ,,,,,2015
17,"Scotland: Air Weapons and Licensing (Scotland) Act 2015, which includes amendments to the 2005 Act as regards alcohol licensing. The Act 2015 includes the creation of new offences of supplying alcohol to a child or young person for consumption in a public place.",, United Kingdom of Great Britain and Northern Ireland, link,,,,,2015
18,"A mystery shopping programme in  2014-2015 to investigate commitment to  the legal age limit for the sale/serving of alcohol and provide training  for responsible sales and serving of alcohol  for bar staff .  September 2016:  Cyprus Anti-Drugs Council funded a  pilot programme for training for responsible alcohol sales and serving across the country, in all five main cities and areas. 2015:Guidelines for the responsible serving and selling of alcohol were developed by the Cyprus Anti-Drugs Council to facilitate the development of training manuals for the programme as well as other training programmes that will be implemented in the future, since training will be a legal requirement for premises wishing to acquire a license for the sale of alcohol, once the revised legislation has been endorsed by Parliament",, Cyprus,  ,,,,,2014-2015
19,England and Wales: The punitive minimum period of voluntary closure that can be given as an alternative for persistent underage sales was increased to 48 hours and the maximum to two weeks.,, United Kingdom of Great Britain and Northern Ireland,  ,,,,,2012
20,Scotland: A mandatory age verification scheme was implemented,, United Kingdom of Great Britain and Northern Ireland, link,,,,,2011
21,"England and Wales: An offence of persistently selling alcohol to a child was added to the 2003 Licensing Act, so that action can be taken if alcohol was sold on two or more occasions within a three-month period.",, United Kingdom of Great Britain and Northern Ireland,  ,,,,,2006
22,"England and Wales: Licensing Act 2003 has several criminal offences which prevent the sale of alcohol to under 18s, prevent children from being on licensed premises, prohibit an adult from buying alcohol on behalf of a child etc. These came into force in 2005.",, United Kingdom of Great Britain and Northern Ireland,  ,,,,,2005
23,"England and Wales: Voluntary schemes were implemented to check age of drinkers at point of sale to prevent underage drinking, Challenge 21 and Challenge 25.",, United Kingdom of Great Britain and Northern Ireland, link,,,,,2005
0,Presence of ordinances related to selling and serving alcohol in selected local government units.,, Philippines,,,,,,2016
1,Legal permission required for the delivery of alcoholic beverages. Restriction removed for telesales of traditional liquors.,, Republic of Korea,,,,,,2016
2,"Undertook major changes in licensing systems, age limits etc. pertaining the availability of alcohol.",, Vanuatu,,,,,,2016
3,"Passed the Liquor Control (Supply and Consumption) Act in January 2015 and implemented it in April 2015 to mitigate public disorder and disamenities arising from public consumption of alcohol, by restricting the supply and consumption of liquor in public places.",, Singapore,,,,,,2015
4,Introduced the Sale and Supply of Alcohol Act 2012 - new legislation to regulate the sale and supply of alcohol and reduce alcohol-related harm.,, New Zealand,,,,,,2013
5,Implemented Liquor Curtailment at Clarke Quay.,, Singapore,,,,,,2013
6,Banned the sale of alcohol to under-age young people.,, China,,,,,,2012
7,Made major changes in licensing systems for wine and spirits.,, Viet Nam,,,,,,2012
8,"Banned the use, sale, promotion and advertisement of alcohol products in all educational facilities, including schools and universities.",, Cambodia,,,,,,2011
9,Installed touch panels beside cash registers to confirm the age of the purchaser of the liquor.,, Japan,,,,,,2011
10,Increased flexibility for travellers purchasing duty free alcohol.,, Singapore,,,,,,2010
11,Enforced better restrictive control of availability of alcohol.,, Tonga,,,,,,2010
0,,, Bangladesh,,,,A national narcotics and alcohol report was published by Department of Narcotics Control.,,2016
1,,, Thailand,,,,Published a major report on alcohol.,,2016
2,,, Timor-Leste,,,,Conducted an NCD risk factor survey.,,2016
3,,, India,,,,Published report on alcohol industry by Public Health Foundation of India.,,2013
4,,, Thailand,,,,Developed a Youth Network for Surveillance of the Alcoholic Beverage Control Law violations.,,2013
5,,, Thailand,,,,Developed community surveillance and investigated complaints of violations of Alcoholic Beverage Control.,,2011
6,,, Bangladesh,,,,Completed the NCD Risk Factor Survey Bangladesh in 2010.,,2010
7,,, Thailand,,,,Conducted surveillance through collecting information on law violation.,,2010
0,,"Issued revised national guidelines on community action, and on prevention, screening and brief interventions", Cuba,,,,,,2016
1,,Signed an agreement between the Ministry of Health and the Alcoholic Beverages Industry to promote the responsible consumption of alcohol in the population, Dominican Republic,,,,,,2016
0,,, Cambodia,,,,,Increased the excise tax on alcohol products from 25% to 30%.,2016
1,,, Philippines,,,,,Increased the excise tax of alcohol as described in the Presidential Decree 10351.,2016
2,,, Vanuatu,,,,,Made changes in excise duties of alcohol.,2016
3,,, Cambodia,,,,,Increased excise tax on alcohol products.,2014
4,,, Viet Nam,,,,,Increased excise duties of alcohol.,2014
5,,, Tonga,,,,,Increased excise tax on alcohol.,2013
0,,, Iraq,,,,Made major changes in the monitoring system.,,2016
1,,, Morocco,,,,"Commenced standardization of the current national information system. In particular, the national addictions programme is currently working on the standardization and computerization of materials relating to the management of addictions in specialized structures, as well as management protocols (an ongoing project , with the support of the Global Fund and the Catalan Agency of Public Health).",,2016
2,,, Oman,,,,Improved the surveillance system for alcohol and other psychoactive substances.,,2016
3,,, Egypt,,,,Commenced the MED SPAD study to survey alcohol and drugs among adolesents.,,2015
4,,, Egypt,,,,Established the National Drug Observatory. Released the final report of the national alcohol and drug survey. Introduced a new national alcohol and drug survey.,,2014
5,,, Morocco,,,,Published the annual report of the National Observatory of Drugs and Addictions with dissemination of the updated data.,,2014
6,,, Lebanon,,,,"Published a major report on alcohol, and made public funding available from 2013 to 2017 for a major alcohol research project or nationwide action project on alcohol harm prevention and reduction.",,2013
7,,, Morocco,,,,Created the National Observatory of Drugs and Addictions.,,2013
0,,, New Zealand,,,Tabled the evaluations of uptake of voluntary alcohol labelling initiatives at the Australia New Zealand Ministerial Forum on Food Regulation. Ministers agreed to continue the existing trial and to undertake a further review in two years.,,, 
1,,, Cambodia,,,"The Ministry of Information regulated to ban advertisement of alcohol on prime time television, from 6-8 pm.",,,2016
2,,, Republic of Korea,,,Strengthed policies on the content of warning labels on containers of alcoholic beverages.,,,2016
3,,, Viet Nam,,,Created a law on advertising.,,,2013
4,,, Australia,,,"Government responded to the review of food labelling law and policy,  including alcohol labelling.",,,2011
5,,, New Zealand,,,"Australia New Zealand Forum on Food Regulation agreed that warning labels about the risks of consuming alcohol while pregnant should be pursued, but that the industry be given the opportunity to introduce appropriate labelling on a voluntary basis.",,,2011
0,,, Thailand,,,Created major changes in marketing regulations.,,,2016
1,,, Thailand,,,"Notification from the Alcoholic Beverages Control, Regarding Rule, Procedure and Condition for Labels of Alcoholic Beverages.",,,2015
2,,, Thailand,,,Notification from the Alcoholic Beverage Control Committee on the Pattern and Method for the Display of Symbol of Alcoholic Beverages or Symbol of the Company Manufacturing the Alcoholic Beverage.,,,2010
0,,, Bangladesh,,Completed a Mental Health policy draft in 2015.,,,,2016
1,,, Bhutan,,"Conducted a National Level Committee meeting. Formed a Core Implementation Committee. Planned a Stakeholders meeting for September, 2016. Distributed policy to stakeholders.",,,,2016
2,,, India,,Launched and evaluated a long-term nationwide information campaign to reduce alcohol-related harm.,,,,2016
3,,, Myanmar,,Plan by the Ministry of Health and Sports to conduct workshops for alcohol policy development in 2016 .,,,,2016
4,,, Sri Lanka,,Launched the National Alcohol Control. Piloted the Multisectoral Alcohol Prevention programme.,,,,2016
5,,, Thailand,,Created new legislation and a scheme for better enforcement of existing alcohol legislation. Revised and launched a new alcohol strategy and action plan.,,,,2016
6,,, Timor-Leste,,Established a cross-government working group together with partners for fighting drugs and alcohol.,,,,2016
7,,, Bangladesh,,Created a multisectoral action plan for control and prevention of NCDs (2016-2021).,,,,2015
8,,, India,,Adopted the National Policy for Drug Demand Reduction.,,,,2014
9,,, Myanmar,,Conducted a national seminar on the development of policies and strategies for reducing harmful use of alcohol.,,,,2014
10,,, Bangladesh,,"Created the Mental Health Act, Bangladesh and Neurodevelopmental Protection Trust Act, 2013.",,,,2013
11,,, Myanmar,,"According to the new foreign investment law, foreign investment is permitted in liquor production, distilling, bottling businesses but must be done on a joint venture basis with a local partner.",,,,2013
12,,, Thailand,,Created a curriculum project to develop a network of Alcoholic Beverage Control.,,,,2013
13,,, India,,Created a target of 5% reduction in the consumption of alcohol by 2020 and a 10% reduction 2025 for NCD prevention and control in India by The Ministry of Health and Family Welfare.,,,,2012
14,,, Sri Lanka,,Initiated the process of developing an alcohol policy.,,,,2012
15,,, India,,"Published the report 'Alcohol-Related Harm: Implications for public health and policy in India, 2011'.",,,,2011
16,,, Thailand,,Launched a campaign to encourage law enforcement for alcohol control.,,,,2010
0,,, Colombia,,,,,A tax reform for liquors is in legislative process.,2016
1,,, Trinidad and Tobago,,,,,The 2017 National Budget increased the excise duty on locally-manufactured alcoholic products by 20%;  customs duty on imported alcoholic products from the Common Market Origin increased by 20%; and the customs duty payable on alcoholic beverages imported into Trinidad and Tobago from extra-regional sources adjusted to receive equal treatment to that of the common market.,2016
2,,, Chile,,,,,"Tax Reform went into effect, increasing alcohol taxes.",2014
3,,, Grenada,,,,,Increased alcohol taxes.,2014
4,,, Panama,,,,,"Passed Law No. 126, to calculate the alcoholic beverage tax. Approved by the National Assembly in the third debate and in agreement with the alcohol industry and finally with the technical endorsement of the Ministry of Economy and Finances. This tax will produce the collection of approximately 80 million balboas a year, and establishes that 20% will be destined for the Program for Disability, Old Age and Health (IVM) of the Social Security Administration.",2014
5,,, Panama,,,,,Law 15 established a new excise tax on alcoholic beverages.,2013
6,,, Colombia,,,,,"Enforced regulation on sanitary requirements for the manufacture, elaboration, hydration, packaging, storage, distribution, transportation, commercialization, sale, export and importation of alcoholic beverages destined for human consumption.",2012
7,,, Saint Lucia,,,,,Increased taxes on alcohol (government tax review and implementation of VAT).,2012
8,,, Grenada,,,,,Increased taxes on alcohol.,2011
9,,, Suriname,,,,,"Increased excise taxes on most imported and domestically produced alcohol products. The tax structure differs between fermented and distilled products. Distilled alcohol is taxed in two ways.  A base excise tax may be placed on specific types of spirits (whisky and rum) in addition to a tiered excise tax structure based on the content of alcohol, (i.e. the higher the alcohol content, the higher the tax).  Fermented alcohol products, such as wine and cider, are subjected to either a $0.09 or $0.12 per percent alcohol by volume.",2011
10,,, Dominica,,,,,Increased the excise duties on alcohol.,2010
11,,, Mexico,,,,,Amended the excise tax law for goods and services to raise the tax rate on alcoholic beverages from 50% to 53%.,2010
0,,, Egypt,,,,,Increasing taxes on alcohol.,2013
0,,, El Salvador,,,,Published the National Alcohol Survey 2014. Developed the Alcohol Control Information System.,,2016
1,,, Costa Rica,,,,"Commissioned article to summarize the principal findings of a study done in two Class A hospitals in Costa Rica: ""Alcohol and Injury: study in two national hospital-crossed cases of Costa Rica.",,2015
2,,, Mexico,,,,Issued a national survey on drug and alcohol use in students.,,2015
3,,, Saint Lucia,,,,Developed a data collection instrument and associated indicators for monitoring harm due to alcohol.,,2015
4,,, United States of America,,,,"The CDC Alcohol Program released a study on the ""2010 National and State Costs of Excessive Alcohol Consumption"" in the American Journal of Preventive Medicine (AJPM).",,2015
5,,, Uruguay,,,,Commenced a pilot study on drug use in university students in Uruguay. Disseminated the VI National Household Survey on Drug Use.,,2015
6,,, El Salvador,,,,Conducted the Annual Report 2014.,,2014
7,,, Saint Lucia,,,,Conducted a survey of secondary school population.,,2014
8,,, El Salvador,,,,Conducted the Annual Report 2013.,,2013
9,,, Saint Lucia,,,,Survey conducted on prevalence among women: Multi-Indicator Cluster Survey 2012.,,2012
10,,, Uruguay,,,,Created a global survey on adolescence: 'Adolescence: a world of questions.',,2012
11,,, Canada,,,,"CCSA produced a report analyzing national data to compare drug and alcohol motor vehicle fatalities to better understand the scope of the impact of alcohol-impaired driving,",,2011
12,,, Dominican Republic,,,,Issued a population-based survey on gender and alcohol.,,2011
13,,, Mexico,,,,Registered a national addiction survey to evaluate the problematic consumption of alcohol.,,2011
14,,, Uruguay,,,,Disseminated the 5th national survey in households on drug use.,,2011
15,,, Costa Rica,,,,Conducted a national survey among 12-70 year-olds in households on drug consumption. Found a small reduction in levels of consumption for all ages.,,2010
16,,, Dominican Republic,,,,Issued a population-based survey on gender and alcohol.,,2010
17,,, Panama,,,,Completed an interdisciplinary study on alcohol and related injuries.,,2010
18,,, Uruguay,,,,"Released a subregional report on drug use among students. Second joint study: Information for Designing National and Regional Strategies for Problematic Drug Use in Youth 2009 / 2010. Released a report on drug consumption in prison populations and the relationship between crime and drugs. Released: Subregional Information and Research System on Drugs in Argentina, Bolivia, Chile, Colombia, Ecuador, Peru and Uruguay 2010. Released a report on the relationship between drugs and crime in case of adolescents breaking the law, the experience of Bolivia, Chile, Colombia, Peru and Uruguay. Released: Subregional Information and Research System on Drugs in Argentina, Bolivia, Chile, Colombia, Ecuador, Peru and Uruguay 2010. Released a report on drug use in emergency consultants in Montevideo's Pasteur Hospital.",,2010
0,,, New Zealand,,,,"Released a report on alcohol use, misuse and alcohol-related harm among New Zealanders aged 15 years and over, as part of the New Zealand Health Survey.",, 
1,,, Philippines,,,,Released 2013 Food and Nutrition Research Institute results on NCDs.,,2016
2,,, China,,,,Reported on nutrition and NCDs in China.,,2015
3,,, Malaysia,,,,Reported on the population-based survey on alcohol use in Malaysia.,,2015
4,,, Solomon Islands,,,,Second STEPS survey conducted.,,2015
5,,, China,,,,Published the China alcohol business report 2014-2020.,,2014
6,,, New Zealand,,,,Released the Evaluation of Alcohol and Other Drug Treatment Courts.,,2014
7,,, Australia,,,,Established a collaborative network of alcohol and other drug research centres; National Drug and Alcohol Research Centre (NDARC) at UNSW; National Drug Research Institute (NDRI) at Curtin University; and National Centre for Education and Training on Addiction (NCETA) at Flinders University.,,2013
8,,, China,,,,Launched an alcohol consumption and policies study programme.,,2013
9,,, Mongolia,,,,International alcohol study.,,2013
10,,, New Zealand,,,,Released 2011/12 alcohol use and hazardous alcohol use data.,,2013
11,,, Malaysia,,,,Conducted the Global School-Based Health Survey.,,2012
12,,, Malaysia,,,,Disseminated a population-based survey to determine the national prevalence of alcohol consumption.,,2011
13,,, Solomon Islands,,,,GSHS conducted.,,2011
14,,, China,,,,Commenced surveillance of behavioral risk factors.,,2010
15,,, New Zealand,,,,"Report issued by the Law Commission entitled 'Alcohol in our lives: Curbing the harm ""A report of the review of the regulatory framework for the sale and supply of liquor""'. Released the findings of the 2007/08 New Zealand Alcohol and Drug Use Survey.",,2010
0,The Province of Saskatchewan implemented mandatory server training. The Province of Ontario announced the expansion of alcohol sales to grocery stores and online services.,, Canada,,,,,,2016
1,Operation of the Alcohol and Tobacco Unit to regulate the production and marketing of alcohol.,, El Salvador,,,,,,2016
2,Restricted hours of sale of alcoholic beverages in some Departments.,, Guatemala,,,,,,2016
3,"Established for the first time the legal definition of ""Harmful use of alcohol"" and equated the sale and supply of alcohol to minors with the offense of child corruption.",, Mexico,,,,,,2016
4,Drafted a law to regulate hours of sales of alcoholic beverages.,, Dominican Republic,,,,,,2014
5,"Amended Article 220 of the General Health Law, which equates serving alcohol to the under-aged population with the crime of corrupting people under 18 years.",, Mexico,,,,,,2013
6,"Established technical regulation for health requirements for manufacturing, processing, hydration, packaging, storage, distribution, transport, marketing, sale, export and import of alcoholic beverages for human consumption.",, Colombia,,,,,,2012
7,"Merged laws regarding requirements for issuing licenses to sell alcohol, hours of operation by type of establishment and function, control of advertisements and new addition of sanctions and fines for infractions of the aforementioned.",, Costa Rica,,,,,,2012
8,Created a responsible alcohol service programme with proposal for harm reduction intervention with staff and managers of pubs and other alcohol sellers in two departments of the interior of the country.,, Uruguay,,,,,,2011
0,,, Bahamas,,"Revision/launch of a new alcohol strategy/action plan, parliamentary commission/cross-government working group/national advisory group for alcohol.",,,,2016
1,,, Brazil,,"New legislation for better regulation (Law No. 13,106/2015; which amends Law No. 8,069, of July 13, 1990 - Child and Adolescent Statute) to make it a crime to sell, supply, serve, administer or deliver alcohol to a child. Law No. 13.281 of 4 May 2016 (which amends Law No. 9,503 of 23 September 1997 ""Brazilian Traffic Code"" Art. 165-A): Refusal to undergo a test, clinical examination, skill or other procedure that allows to certify influence of alcohol or other psychoactive substance, in the form established by art. 277: infraction - very serious; penalty - fine (ten times) and suspension of the right to drive for 12 months.",,,,2016
2,,, Canada,,"Report released by Chief Public Health Officer for Canada entitled 'The Chief Public Health Officer's Report on the State of Public Health in Canada, 2015: Alcohol Consumption in Canada'. The Alberta Gaming and Liquor Commission (AGLC) launched '""Thanks Alcohol"" (2015) and ""Enjoy Responsibly"" (2016)- campaigns to promote Canada's Low-Risk Drinking Guidelines and to bring awareness to the dangers of over-consumption/binge drinking.",,,,2016
3,,, Chile,,"Reviewed the strategy and formulation of the Action Plan 2017-2020, which includes the creation of an officially established and permanent interministerial committee for the coordination and monitoring of the action plan.",,,,2016
4,,, Colombia,,"Formulated the intersectoral National Alcohol Plan 2017 - 2021, for the National and World Strategy.",,,,2016
5,,, Cuba,,Launched a national long-term information campaign to reduce the harmful effects of alcohol consumption.,,,,2016
6,,, Dominican Republic,,"Integrated ministries, decentralized ministries and institutions of the state into a working group called the Cluster on Alcohol and Drugs.",,,,2016
