Country,Availability of alcohol,Community and workplace action,"Leadership, awareness and commitment",Marketing of alcoholic beverages,Monitoring and surveillance,Pricing policies,Year,Code,Region,Religion
 Iraq,0,0,0,0,1,0,2016,,,
 Iraq,0,0,1,0,0,0,2016,,,
 Ireland,0,0,1,0,0,0,2015,,,
 Ireland,0,0,1,0,0,0,2015,,,
 Ireland,0,1,0,0,0,0,2015,,,
 Ireland,0,0,0,1,0,0,2015,,,
 Israel,0,0,1,0,0,0,2016,,,
 Israel,0,0,1,0,0,0,2014,,,
 Italy,0,0,0,0,1,0,2015,,,
 Italy,0,0,0,0,1,0,2015,,,
 Italy,0,0,0,0,1,0,2015,,,
 Italy,0,0,0,0,1,0,2015,,,
 Italy,0,0,0,0,1,0,2015,,,
 Jamaica,0,0,1,0,0,0,2016,,,
 Jamaica,0,0,1,0,0,0,2013,,,
 Japan,1,0,0,0,0,0,2011,,,
 Kazakhstan,1,0,0,0,0,0,2015,,,
 Kazakhstan,0,0,0,1,0,0,2015,,,
 Kiribati,0,1,0,0,0,0,2016,,,
 Latvia,0,0,0,0,1,0,2012,,,
 Latvia,0,0,0,0,0,1,2015,,,
 Latvia,0,0,1,0,0,0,2015,,,
 Latvia,0,0,1,0,0,0,2015,,,
 Latvia,0,0,1,0,0,0,2015,,,
 Latvia,0,0,1,0,0,0,2012,,,
 Latvia,0,0,1,0,0,0,2012,,,
 Latvia,0,0,1,0,0,0,2011,,,
 Lebanon,0,0,0,0,1,0,2013,,,
 Lebanon,0,0,1,0,0,0,2016,,,
 Lithuania,1,0,0,0,0,0,2016,,,
 Lithuania,1,0,0,0,0,0,2016,,,
 Lithuania,0,0,0,0,1,0,2016,,,
 Lithuania,0,0,0,0,0,1,2016,,,
 Lithuania,0,0,0,0,0,1,2016,,,
 Lithuania,0,0,1,0,0,0,2016,,,
 Lithuania,0,0,0,1,0,0,2016,,,
 Luxembourg,0,0,1,0,0,0,2017,,,
 Luxembourg,0,0,1,0,0,0,2016,,,
 Luxembourg,0,0,1,0,0,0,2013,,,
 Malaysia,0,0,0,0,1,0,2015,,,
 Malaysia,0,0,0,0,1,0,2012,,,
 Malaysia,0,0,0,0,1,0,2011,,,
 Malaysia,0,1,0,0,0,0,2014,,,
 Malaysia,0,1,0,0,0,0,2013,,,
 Malta,0,0,1,0,0,0,2016,,,
 Mexico,0,0,0,0,0,1,2010,,,
 Mexico,0,0,0,0,1,0,2015,,,
 Mexico,0,0,0,0,1,0,2011,,,
 Mexico,1,0,0,0,0,0,2016,,,
 Mexico,1,0,0,0,0,0,2013,,,
 Mexico,0,0,1,0,0,0,2016,,,
 Mexico,0,0,0,0,1,0,2015,,,
 Mexico,0,0,0,0,1,0,2011,,,
 Mexico,0,0,0,1,0,0,2015,,,
 Mongolia,0,0,0,0,1,0,2013,,,
 Montenegro,0,0,1,0,0,0,2016,,,
 Montenegro,0,0,1,0,0,0,2015,,,
 Morocco,0,0,0,0,1,0,2016,,,
 Morocco,0,0,0,0,1,0,2014,,,
 Morocco,0,0,0,0,1,0,2013,,,
 Morocco,0,0,1,0,0,0,2016,,,
 Morocco,0,0,1,0,0,0,2010,,,
 Myanmar,0,0,1,0,0,0,2016,,,
 Myanmar,0,0,1,0,0,0,2014,,,
 Myanmar,0,0,1,0,0,0,2013,,,
 Netherlands,0,0,1,0,0,0,2015,,,
 Netherlands,0,0,1,0,0,0,2013,,,
 New Zealand,1,0,0,0,0,0,2013,,,
 New Zealand,0,0,0,1,0,0, ,,,
 New Zealand,0,0,0,1,0,0,2011,,,
 New Zealand,0,0,0,0,1,0, ,,,
 New Zealand,0,0,0,0,1,0,2014,,,
 New Zealand,0,0,0,0,1,0,2013,,,
 New Zealand,0,0,0,0,1,0,2010,,,
 Nicaragua,0,0,1,0,0,0,2014,,,
 Norway,0,0,1,0,0,0,2015,,,
 Norway,0,0,1,0,0,0,2015,,,
 Oman,0,0,0,0,1,0,2016,,,
 Oman,0,0,1,0,0,0,2015,,,
 Oman,0,0,1,0,0,0,2013,,,
 Oman,0,0,1,0,0,0,2011,,,
 Oman,0,0,1,0,0,0,2010,,,
 Panama,0,0,0,0,0,1,2014,,,
 Panama,0,0,0,0,0,1,2013,,,
 Panama,0,0,0,0,1,0,2010,,,
 Panama,0,0,1,0,0,0,2015,,,
 Panama,0,0,0,0,1,0,2010,,,
 Peru,0,0,1,0,0,0,2014,,,
 Philippines,1,0,0,0,0,0,2016,,,
 Philippines,0,0,0,0,0,1,2016,,,
 Philippines,0,0,0,0,1,0,2016,,,
 Poland,0,0,1,0,0,0,2015,,,
 Portugal,1,0,0,0,0,0,2015,,,
 Portugal,0,0,0,0,1,0,2016,,,
 Portugal,0,0,0,0,1,0,2015,,,
 Portugal,0,0,0,0,1,0,2015,,,
 Portugal,0,0,0,0,1,0,2015,,,
 Portugal,0,0,0,0,1,0,2015,,,
 Portugal,0,0,0,0,1,0,2015,,,
 Portugal,0,0,0,0,1,0,2014,,,
 Portugal,0,0,0,0,1,0,2012,,,
 Portugal,0,0,0,0,1,0,2011,,,
 Portugal,0,0,0,0,1,0,2011,,,
 Portugal,0,0,0,0,0,1,2016,,,
 Portugal,0,0,1,0,0,0,2016,,,
 Portugal,0,0,1,0,0,0,2015,,,
 Portugal,0,0,1,0,0,0,2015,,,
 Portugal,0,0,0,1,0,0,2015,,,
 Republic of Korea,1,0,0,0,0,0,2016,,,
 Republic of Korea,0,0,0,1,0,0,2016,,,
 Republic of Moldova,1,0,0,0,0,0,2015,,,
 Republic of Moldova,0,0,0,0,1,0,2015,,,
 Republic of Moldova,0,0,0,0,0,1,2016,,,
 Republic of Moldova,0,0,0,0,0,1,2015,,,
 Republic of Moldova,0,0,0,1,0,0,2015,,,
 Romania,0,0,0,0,0,1,2015,,,
 Romania,0,0,1,0,0,0,2015,,,
 Romania,0,0,1,0,0,0,2015,,,
 Russian Federation,1,0,0,0,0,0, ,,,
 Russian Federation,1,0,0,0,0,0,2016,,,
 Russian Federation,0,0,0,0,1,0,2016,,,
 Russian Federation,0,0,0,0,1,0,2015,,,
 Russian Federation,0,0,0,0,0,1,2016,,,
 Russian Federation,0,0,0,0,0,1,2015,,,
 Russian Federation,0,0,0,0,0,1,2014,,,
 Russian Federation,0,0,0,0,0,1,2014,,,
 Russian Federation,0,0,0,0,0,1,2014,,,
 Russian Federation,0,0,1,0,0,0,2016,,,
 Russian Federation,0,0,1,0,0,0,2015,,,
 Russian Federation,0,0,1,0,0,0,2014,,,
 Russian Federation,0,0,1,0,0,0,2009,,,
 Saint Lucia,0,0,0,0,0,1,2012,,,
 Saint Lucia,0,0,0,0,1,0,2015,,,
 Saint Lucia,0,0,0,0,1,0,2014,,,
 Saint Lucia,0,0,0,0,1,0,2012,,,
 Saint Lucia,0,0,1,0,0,0,2015,,,
 Saint Lucia,0,0,1,0,0,0,2014,,,
 Saint Lucia,0,0,0,0,1,0,2015,,,
 Saint Lucia,0,0,0,0,1,0,2014,,,
 Saint Lucia,0,0,0,0,1,0,2012,,,
 Saint Vincent and the Grenadines,0,0,1,0,0,0,2015,,,
 San Marino,0,0,1,0,0,0,2015,,,
 Serbia,0,0,1,0,0,0,2015,,,
 Serbia,0,0,1,0,0,0,2015,,,
 Serbia,0,1,0,0,0,0,2015,,,
 Singapore,1,0,0,0,0,0,2015,,,
 Singapore,1,0,0,0,0,0,2013,,,
 Singapore,1,0,0,0,0,0,2010,,,
 Slovakia,0,0,0,0,1,0,2015,,,
 Slovakia,0,0,1,0,0,0,2015,,,
 Slovenia,1,0,0,0,0,0,2017,,,
 Slovenia,1,0,0,0,0,0,2015,,,
 Slovenia,0,0,0,0,1,0,2016,,,
 Slovenia,0,0,0,0,1,0,2015,,,
 Slovenia,0,0,0,0,1,0,2015,,,
 Slovenia,0,0,0,0,1,0,2015,,,
 Slovenia,0,0,0,0,0,1,2016,,,
 Slovenia,0,0,1,0,0,0,2016,,,
 Slovenia,0,0,1,0,0,0,2015,,,
 Slovenia,0,1,0,0,0,0,2015,,,
 Solomon Islands,0,0,0,0,1,0,2015,,,
 Solomon Islands,0,0,0,0,1,0,2011,,,
 Solomon Islands,0,1,0,0,0,0,2013,,,
 Spain,0,0,0,0,1,0,2015,,,
 Spain,0,0,0,0,1,0,2015,,,
 Spain,0,0,1,0,0,0,2016,,,
 Spain,0,0,1,0,0,0,2016,,,
 Spain,0,0,1,0,0,0,2016,,,
 Spain,0,0,1,0,0,0,2015,,,
 Spain,0,0,1,0,0,0,2014,,,
 Spain,0,0,1,0,0,0,2011,,,
 Sri Lanka,0,0,1,0,0,0,2016,,,
 Sri Lanka,0,0,1,0,0,0,2012,,,
 Sudan,0,0,1,0,0,0,2016,,,
 Suriname,0,0,0,0,0,1,2011,,,
 Suriname,0,0,1,0,0,0,2016,,,
 Suriname,0,0,1,0,0,0,2015,,,
 Suriname,0,0,1,0,0,0,2014,,,
 Suriname,0,0,1,0,0,0,2011,,,
 Sweden,0,0,0,0,0,1,2017,,,
 Sweden,0,0,0,0,0,1,2015,,,
 Sweden,0,0,1,0,0,0,2015-2017,,,
 Sweden,0,0,1,0,0,0,2016,,,
 Sweden,0,0,1,0,0,0,2015,,,
 Sweden,0,0,0,1,0,0,2016,,,
 Switzerland,0,0,0,0,1,0,2015,,,
 Switzerland,0,0,0,0,1,0,2015,,,
 Switzerland,0,0,0,0,1,0,2014,,,
 Switzerland,0,0,0,0,1,0,2013,,,
 Switzerland,0,0,1,0,0,0,2016,,,
 Switzerland,0,0,1,0,0,0,2016,,,
 Switzerland,0,0,1,0,0,0,2015,,,
 Switzerland,0,0,1,0,0,0,2015,,,
 Switzerland,0,0,1,0,0,0,2015,,,
 Switzerland,0,0,1,0,0,0,2015,,,
 Switzerland,0,0,1,0,0,0,2015,,,
 Switzerland,0,0,1,0,0,0,2015,,,
 Switzerland,0,0,1,0,0,0,2015,,,
 Switzerland,0,0,1,0,0,0,2014,,,
 Switzerland,0,0,1,0,0,0,2013,,,
 Switzerland,0,0,1,0,0,0,2013,,,
 Switzerland,0,0,1,0,0,0,2010,,,
 Switzerland,0,1,0,0,0,0,2015,,,
 Tajikistan,1,0,0,0,0,0,2015,,,
 Tajikistan,0,0,0,0,0,1,2015,,,
 Tajikistan,0,0,1,0,0,0,2015,,,
 Thailand,0,0,0,0,1,0,2016,,,
 Thailand,0,0,0,0,1,0,2013,,,
 Thailand,0,0,0,0,1,0,2011,,,
 Thailand,0,0,0,0,1,0,2010,,,
 Thailand,0,0,0,1,0,0,2016,,,
 Thailand,0,0,0,1,0,0,2015,,,
 Thailand,0,0,0,1,0,0,2010,,,
 Thailand,0,0,1,0,0,0,2016,,,
 Thailand,0,0,1,0,0,0,2013,,,
 Thailand,0,0,1,0,0,0,2010,,,
 Thailand,1,0,0,0,0,0,2015,,,
 Thailand,1,0,0,0,0,0,2012,,,
 Timor-Leste,0,0,0,0,1,0,2016,,,
 Timor-Leste,0,0,1,0,0,0,2016,,,
 Tonga,1,0,0,0,0,0,2010,,,
 Tonga,0,0,0,0,0,1,2013,,,
 Trinidad and Tobago,0,0,0,0,0,1,2016,,,
 Trinidad and Tobago,0,0,1,0,0,0,2016,,,
 Trinidad and Tobago,0,0,1,0,0,0,2015,,,
 Turkey,0,0,0,0,0,1,2016,,,
 Turkey,0,0,0,0,0,1,2015,,,
 Turkey,0,0,0,1,0,0,2015,,,
 Turkmenistan,0,0,0,0,0,1,2015,,,
 United Kingdom of Great Britain and Northern Ireland,1,0,0,0,0,0,2016,,,
 United Kingdom of Great Britain and Northern Ireland,1,0,0,0,0,0,2016,,,
 United Kingdom of Great Britain and Northern Ireland,1,0,0,0,0,0,2015,,,
 United Kingdom of Great Britain and Northern Ireland,1,0,0,0,0,0,2015,,,
 United Kingdom of Great Britain and Northern Ireland,1,0,0,0,0,0,2012,,,
 United Kingdom of Great Britain and Northern Ireland,1,0,0,0,0,0,2011,,,
 United Kingdom of Great Britain and Northern Ireland,1,0,0,0,0,0,2006,,,
 United Kingdom of Great Britain and Northern Ireland,1,0,0,0,0,0,2005,,,
 United Kingdom of Great Britain and Northern Ireland,1,0,0,0,0,0,2005,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,0,0,1,0,2016,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,0,0,1,0,2016,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,0,0,1,0,2015,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,1,2016,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,1,2015,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,1,2015,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2016,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2016,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2016,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2016,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2015,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2015,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2015,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2009,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2009,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,1,0,0,0,2009,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0, ,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0, ,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2016,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2015,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2015,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2014,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2014,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2013,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2013,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2012,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2010,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2010,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2007,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2007,,,
 United Kingdom of Great Britain and Northern Ireland,0,1,0,0,0,0,2006,,,
 United Kingdom of Great Britain and Northern Ireland,0,0,0,1,0,0,2013,,,
 United States of America,0,0,0,0,1,0,2015,,,
 United States of America,0,0,1,0,0,0,2016,,,
 United States of America,0,0,0,0,1,0,2015,,,
 Uruguay,0,0,0,0,1,0,2015,,,
 Uruguay,0,0,0,0,1,0,2012,,,
 Uruguay,0,0,0,0,1,0,2011,,,
 Uruguay,0,0,0,0,1,0,2010,,,
 Uruguay,1,0,0,0,0,0,2011,,,
 Uruguay,0,0,1,0,0,0,2015,,,
 Uruguay,0,0,1,0,0,0,2014,,,
 Uruguay,0,0,1,0,0,0,2012,,,
 Uruguay,0,0,0,0,1,0,2015,,,
 Uruguay,0,0,0,0,1,0,2012,,,
 Uruguay,0,0,0,0,1,0,2011,,,
 Uruguay,0,0,0,0,1,0,2010,,,
 Uzbekistan,0,0,0,0,0,1,2015,,,
 Vanuatu,1,0,0,0,0,0,2016,,,
 Vanuatu,0,0,0,0,0,1,2016,,,
 Vanuatu,0,1,0,0,0,0,2016,,,
 Venezuela (Bolivarian Republic of),0,0,1,0,0,0,2016,,,
 Viet Nam,1,0,0,0,0,0,2012,,,
 Viet Nam,0,0,0,0,0,1,2014,,,
 Viet Nam,0,0,0,1,0,0,2013,,,
Australia,0,0,1,0,0,0,2014,AUS,Western European and Others Group,Roman Catholic   
Australia,0,0,1,0,0,0,2012,AUS,Western European and Others Group,Roman Catholic   
Australia,0,0,1,0,0,0,2010,AUS,Western European and Others Group,Roman Catholic   
Cambodia,0,0,1,0,0,0,2016,KHM,Asia-Pacific Group,Buddhist   
Cambodia,0,0,1,0,0,0,2013,KHM,Asia-Pacific Group,Buddhist   
China,0,0,1,0,0,0,2012,CHN,Asia-Pacific Group,Officially atheist
China,0,0,1,0,0,0,2011,CHN,Asia-Pacific Group,Officially atheist
Japan,0,0,1,0,0,0,2016,JPN,Asia-Pacific Group,Shintoist and Buddhist   
Japan,0,0,1,0,0,0,2015,JPN,Asia-Pacific Group,Shintoist and Buddhist   
Japan,0,0,1,0,0,0,2014,JPN,Asia-Pacific Group,Shintoist and Buddhist   
Japan,0,0,1,0,0,0,2013,JPN,Asia-Pacific Group,Shintoist and Buddhist   
Lao People's Democratic Republic,0,0,1,0,0,0,2016,,,
Malaysia,0,0,1,0,0,0,2016,MYS,Asia-Pacific Group,Islam
Malaysia,0,0,1,0,0,0,2015,MYS,Asia-Pacific Group,Islam
Malaysia,0,0,1,0,0,0,2014,MYS,Asia-Pacific Group,Islam
Malaysia,0,0,1,0,0,0,2013,MYS,Asia-Pacific Group,Islam
Malaysia,0,0,1,0,0,0,2010,MYS,Asia-Pacific Group,Islam
Marshall Islands,0,0,1,0,0,0,2016,MHL,Asia-Pacific Group,Protestant   
Mongolia,0,0,1,0,0,0,2015,MNG,Asia-Pacific Group,Buddhist
New Zealand,0,0,1,0,0,0,2016,NZL,Western European and Others Group,Anglican   
New Zealand,0,0,1,0,0,0,2015,NZL,Western European and Others Group,Anglican   
New Zealand,0,0,1,0,0,0,2014,NZL,Western European and Others Group,Anglican   
New Zealand,0,0,1,0,0,0,2013,NZL,Western European and Others Group,Anglican   
New Zealand,0,0,1,0,0,0,2011,NZL,Western European and Others Group,Anglican   
Philippines,0,0,1,0,0,0,2016,PHL,Asia-Pacific Group,Roman Catholic   
Republic of Korea,0,0,1,0,0,0,2011,,,
Singapore,0,0,1,0,0,0,2014,SGP,Asia-Pacific Group,Buddhist   
Solomon Islands,0,0,1,0,0,0,2015,SLB,Asia-Pacific Group,Church of Melanesia   
Solomon Islands,0,0,1,0,0,0,2012,SLB,Asia-Pacific Group,Church of Melanesia   
Solomon Islands,0,0,1,0,0,0,2010,SLB,Asia-Pacific Group,Church of Melanesia   
Vanuatu,0,0,1,0,0,0,2016,VUT,Asia-Pacific Group,Protestant
Viet Nam,0,0,1,0,0,0,2015,,,
Viet Nam,0,0,1,0,0,0,2014,,,
