"","","Government support for","Government support for","Government support for","Government support for","Government support for","Government support for","Government support for","Government support for"
"Côte d'Ivoire"," 2016","No","No","Yes","Yes","No","Yes","No","Yes"
"Croatia"," 2016","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Cuba"," 2016","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cyprus"," 2016","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Czechia"," 2016","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Democratic People's Republic of Korea"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo"," 2016","No","No","No","No","No","No","No","No"
"Denmark"," 2016","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"Djibouti"," 2016","No","No","No","No","No","No","No","No"
"Dominica"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dominican Republic"," 2016","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Ecuador"," 2016","No","Yes","No","Yes","No","Yes","No","No"
"Egypt"," 2016","No","No","No","Yes","No","Yes","No","Yes"
"El Salvador"," 2016","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Equatorial Guinea"," 2016","No","No","Yes","No","Yes","Yes","No","No"
"Eritrea"," 2016","No","Yes","Yes","No","No","Yes","No","Yes"
"Estonia"," 2016","No","Yes","Yes","No","No","Yes","Yes","Yes"
"Eswatini"," 2016","Yes","No","Yes","No","No","No","No","Yes"
"Ethiopia"," 2016","No","No","No","No","No","No","No","No"
"Fiji"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Finland"," 2016","No","Yes","No","No","No","Yes","Yes","Yes"
"France"," 2016","Yes","No","No","No","No","Yes","No","No"
"Gabon"," 2016","No","No","No","No","No","No","No","No"
"Gambia"," 2016","No","No","No","No","No","No","No","No"
"Georgia"," 2016","No","No","Yes","No","No","No","No","No"
"Germany"," 2016","No","Yes","Yes","Yes","Yes","No","Yes","No"
"Ghana"," 2016","No","No","No","No","No","Yes","No","No"
"Greece"," 2016","Yes","No","Yes","No","No","No","No","No"
"Grenada"," 2016","Yes","No","Yes","Yes","No","Yes","Yes","Yes"
"Guatemala"," 2016","No","No","Yes","No","Yes","No","No","No"
"Guinea"," 2016","No","No","No","No","No","No","No","No"
"Guinea-Bissau"," 2016","No","No","No","No","No","No","No","No"
"Guyana"," 2016","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Haiti"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Honduras"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Hungary"," 2016","Yes","No","No","Yes","Yes","No","No","No"
"Iceland"," 2016","Yes","Yes","No","No","No","Yes","Yes","Yes"
"India"," 2016","No","No","No","No","No","No","No","No"
"Indonesia"," 2016","No","Yes","No","Yes","No","No","No","Yes"
"Iran (Islamic Republic of)"," 2016","No","No","Yes","Yes","No","No","No","Yes"
"Iraq"," 2016","Yes","No","Yes","No","No","Yes","No","Yes"
"Ireland"," 2016","Yes","Yes","Yes","Yes","No","Yes","No","No"
"Israel"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Italy"," 2016","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Jamaica"," 2016","No","No","Yes","No","No","Yes","Yes","Yes"
"Japan"," 2016","No","Yes","No","No","No","No","Yes","Yes"
"Jordan"," 2016","No","No","No","Yes","No","No","No","No"
"Kazakhstan"," 2016","Yes","No","Yes","No","No","No","No","Yes"
"Kenya"," 2016","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Kiribati"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kuwait"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Kyrgyzstan"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Lao People's Democratic Republic"," 2016","No","No","No","No","No","No","No","No"
"Latvia"," 2016","No","No","No","No","No","Yes","Yes","Yes"
"Lebanon"," 2016","No","No","No","No","Yes","Yes","No","No"
"Lesotho"," 2016","No","No","No","No","No","No","No","No"
"Liberia"," 2016","No","No","No","No","No","No","No","No"
"Libya"," 2016","No","No","No","No","No","No","No","No"
"Lithuania"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Luxembourg"," 2016","No","No","No","No","No","Yes","Yes","Yes"
"Madagascar"," 2016","No","No","No","No","No","Yes","No","No"
"Malawi"," 2016","No","No","No","No","No","No","No","No"
"Malaysia"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Maldives"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Mali"," 2016","No","No","No","No","No","No","No","No"
"Malta"," 2016","Yes","Yes","Yes","No","No","Yes","No","No"
"Marshall Islands"," 2016","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Mauritania"," 2016","No","No","No","No","No","No","No","No"
"Mauritius"," 2016","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Mexico"," 2016","No","Yes","Yes","Yes","No","No","No","Yes"
"Micronesia (Federated States of)"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Monaco"," 2016","No","No","No","No","No","No","No","No"
"Mongolia"," 2016","Yes","No","No","No","No","No","No","No"
"Montenegro"," 2016","Yes","No","No","No","No","No","No","No"
"Morocco"," 2016","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"Mozambique"," 2016","No","No","Yes","No","No","Yes","Yes","No"
"Myanmar"," 2016","No","No","No","No","No","No","No","No"
"Namibia"," 2016","No","No","Yes","No","No","Yes","No","Yes"
"Nauru"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Nepal"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Netherlands"," 2016","No","No","No","No","No","Yes","Yes","No"
"New Zealand"," 2016","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Nicaragua"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Niger"," 2016","No","No","No","No","No","No","No","No"
"Nigeria"," 2016","No","No","Yes","No","No","No","No","No"
"Niue"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Norway"," 2016","No","Yes","No","No","No","Yes","No","Yes"
"Oman"," 2016","No","No","No","No","No","No","No","No"
"Pakistan"," 2016","No","No","No","No","No","No","No","No"
"Palau"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Panama"," 2016","No","No","Yes","Yes","Yes","No","No","No"
"Papua New Guinea"," 2016","No data","No data","No data","No data","No data","No data","No data","No"
"Paraguay"," 2016","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Peru"," 2016","Yes","No","Yes","No","Yes","Yes","No","No"
"Philippines"," 2016","No","No","No","No","Yes","No","No","No"
"Poland"," 2016","Yes","No","Yes","No","No","Yes","Yes","No"
"Portugal"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Qatar"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Republic of Korea"," 2016","No","No","Yes","No","No","Yes","No","No"
"Republic of Moldova"," 2016","No","No","Yes","Yes","Yes","No","Yes","Yes"
"Romania"," 2016","No","Yes","No","No","No","Yes","Yes","No"
"Russian Federation"," 2016","Yes","No","No","No","No","No","No","No"
"Rwanda"," 2016","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Saint Kitts and Nevis"," 2016","No","No","Yes","No","Yes","No","No","No"
"Saint Lucia"," 2016","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Saint Vincent and the Grenadines"," 2016","No","No","No","No","No","No","No","No"
"Samoa"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"San Marino"," 2016","No","No","No","No","No","No","No","No"
"Sao Tome and Principe"," 2016","No","No","No","No","No","No","No","No"
"Saudi Arabia"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Senegal"," 2016","No","No","No","No","No","No","Yes","Yes"
"Serbia"," 2016","No","No","Yes","No","No","Yes","Yes","Yes"
"Seychelles"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Sierra Leone"," 2016","No","No","Yes","No","No","Yes","No","No"
"Singapore"," 2016","Yes","No","Yes","No","No","Yes","No","No"
"Slovakia"," 2016","No","No","No","No","Yes","No","No","Yes"
"Slovenia"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Solomon Islands"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Somalia"," 2016","No","No","No","No","No","No","No","No"
"South Africa"," 2016","No","No","No","No","No","No","No","No"
"South Sudan"," 2016","No","No","No","No","No","Yes","Yes","Yes"
"Spain"," 2016","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Sri Lanka"," 2016","No","No","Yes","Yes","Yes","No","No","No"
"Sudan"," 2016","No","No","No","No","No","No","No","No"
"Suriname"," 2016","No","No","No","No","No","No","No","No"
"Sweden"," 2016","Yes","Yes","No","No","Yes","Yes","Yes","No"
"Switzerland"," 2016","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Syrian Arab Republic"," 2016","No","No","No","No","No","Yes","No","No"
"Tajikistan"," 2016","No","No","No","Yes","No","No","Yes","Yes"
"Thailand"," 2016","Yes","Yes","Yes","No","No","Yes","No","No"
"Republic of North Macedonia"," 2016","No","No","Yes","No","Yes","No","No","No"
"Timor-Leste"," 2016","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Togo"," 2016","No","No","No","No","No","No","No","No"
"Tonga"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Trinidad and Tobago"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Tunisia"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Turkey"," 2016","No","No","No","No","No","No","No","No"
"Turkmenistan"," 2016","No","No","No","Yes","No","No","Yes","No"
"Tuvalu"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Uganda"," 2016","No","No","No","No","No","No","No","No"
"Ukraine"," 2016","No","No","No","No","No","No","No","No"
"United Arab Emirates"," 2016","No","No","No","No","No","No","No","No"
"United Kingdom of Great Britain and Northern Ireland"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"United Republic of Tanzania"," 2016","No","No","No","No","No","No","No","No"
"United States of America"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Uruguay"," 2016","Yes","No","No","Yes","No","No","No","No"
"Uzbekistan"," 2016","Yes","Yes","No","No","No","Yes","Yes","Yes"
"Vanuatu"," 2016","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Venezuela (Bolivarian Republic of)"," 2016","Yes","Yes","Yes","No","Yes","No","No","No"
"Viet Nam"," 2016","No","Yes","No","Yes","No","Yes","Yes","Yes"
"Yemen"," 2016","No","No","No","No","No","No","No","No"
"Zambia"," 2016","No","No","Yes","No","No","Yes","Yes","Yes"
"Zimbabwe"," 2016","No","No","No","Yes","Yes","Yes","Yes","No"
